timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-05-15,117.56,117.58,116.7,117.25,111.5301,12901000,0.0,1.0
2018-05-16,117.42,117.53,116.79,116.8,111.1021,6518000,0.0,1.0
2018-05-17,116.63,116.82,116.09,116.21,110.5408,7330700,0.0,1.0
2018-05-18,116.51,117.29,116.51,117.21,111.492,9606500,0.0,1.0
2018-05-21,117.13,117.38,116.95,117.27,111.5491,4448500,0.0,1.0
2018-05-22,117.29,117.35,116.85,117.09,111.3779,4700700,0.0,1.0
2018-05-23,117.75,118.11,117.66,117.94,112.1864,9634000,0.0,1.0
2018-05-24,118.69,119.06,118.64,118.88,113.0806,8204100,0.0,1.0
2018-05-25,119.56,119.84,119.47,119.62,113.7845,8482800,0.0,1.0
2018-05-29,120.79,122.52,120.43,122.24,116.2767,21668100,0.0,1.0
2018-05-30,121.0,121.48,120.74,121.42,115.4967,11616300,0.0,1.0
2018-05-31,121.56,121.98,120.95,121.22,115.3064,10769900,0.0,1.0
2018-06-01,120.17,120.71,119.85,120.3,114.6986,8718800,0.281,1.0
2018-06-04,120.11,120.14,119.37,119.43,113.8691,7156500,0.0,1.0
2018-06-05,119.96,120.16,119.62,119.71,114.1361,5635900,0.0,1.0
2018-06-06,119.08,119.1,118.42,118.74,113.2112,7813300,0.0,1.0
2018-06-07,118.69,120.49,118.68,119.89,114.3077,13238300,0.0,1.0
2018-06-08,119.56,119.85,119.44,119.53,113.9645,6790600,0.0,1.0
2018-06-11,119.07,119.39,118.94,119.31,113.7547,6844200,0.0,1.0
2018-06-12,118.93,119.46,118.89,119.34,113.7833,6048200,0.0,1.0
2018-06-13,119.45,119.64,118.63,119.28,113.7261,8834700,0.0,1.0
2018-06-14,119.78,120.3,119.48,120.27,114.67,10078800,0.0,1.0
2018-06-15,120.83,121.09,120.3,120.38,114.7749,7992800,0.0,1.0
2018-06-18,120.48,120.56,120.04,120.27,114.67,4893700,0.0,1.0
2018-06-19,120.97,121.23,120.7,120.97,115.3374,6133300,0.0,1.0
2018-06-20,120.77,120.79,119.9,119.91,114.3268,6879100,0.0,1.0
2018-06-21,120.36,120.75,120.22,120.54,114.9274,7235800,0.0,1.0
2018-06-22,120.09,120.62,120.06,120.53,114.9179,4082500,0.0,1.0
2018-06-25,120.66,121.11,120.64,120.8,115.1753,8363700,0.0,1.0
2018-06-26,120.77,121.03,120.66,120.97,115.3374,5450000,0.0,1.0
2018-06-27,121.75,122.18,121.55,122.11,116.4243,8173800,0.0,1.0
2018-06-28,122.13,122.25,121.83,122.14,116.4529,7109500,0.0,1.0
2018-06-29,122.17,122.5,121.65,121.72,116.0525,11164800,0.0,1.0
2018-07-02,121.74,121.75,121.29,121.35,115.9618,9662000,0.2749,1.0
2018-07-03,121.53,122.03,121.53,122.0,116.583,3808800,0.0,1.0
2018-07-05,122.06,122.53,122.01,122.35,116.9174,3860400,0.0,1.0
2018-07-06,122.75,122.92,122.48,122.75,117.2997,4679900,0.0,1.0
2018-07-09,122.07,122.21,121.9,121.96,116.5448,5952700,0.0,1.0
2018-07-10,121.87,122.13,121.81,121.95,116.5352,5759700,0.0,1.0
2018-07-11,122.45,122.55,122.09,122.42,116.9843,6869200,0.0,1.0
2018-07-12,122.17,122.47,122.14,122.41,116.9748,4824700,0.0,1.0
2018-07-13,122.61,122.87,122.47,122.72,117.271,4079000,0.0,1.0
2018-07-16,122.21,122.29,121.64,122.21,116.7837,5517100,0.0,1.0
2018-07-17,122.29,122.39,121.9,121.98,116.5639,3764300,0.0,1.0
2018-07-18,122.02,122.04,121.39,121.49,116.0956,6330000,0.0,1.0
2018-07-19,121.8,122.45,121.77,122.26,116.8314,6166700,0.0,1.0
2018-07-20,121.58,121.59,120.7,120.76,115.398,10469700,0.0,1.0
2018-07-23,120.38,120.38,119.18,119.27,113.9742,11571800,0.0,1.0
